"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","25.625","25.625","25.625","25.625","25.625","25.625","25.625","25.625","25.625","25.625","25.625","26.25","26.25","26.25","26.25","26.25","26.25","26.25","26.25","28.75","28.75","28.75","28.75","28.75","28.75","28.75","28.75","28.75","38.125","38.125","38.125","38.125","38.125","38.125","31.875","31.875","","",
"Africa Western and Central","AFW","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","30.625","30.625","30.625","30.625","30.625","30.625","30.625","30.625","30.625","30.625","30.625","30.625","33.125","33.125","33.125","33.125","33.125","33.125","56.25","56.25","56.25","56.25","56.25","56.25","56.25","56.25","56.25","56.25","56.25","56.25","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","70.625","70.625","70.625","70.625","73.125","73.125","73.125","73.125","73.125","79.375","79.375","79.375","","",
"Albania","ALB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","59.375","65","65","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","80","80","80","82.5","82.5","82.5","85.625","85.625","85.625","85.625","85.625","85.625","91.25","91.25","91.25","91.25","91.25","91.25","91.25","91.25","","",
"Andorra","AND","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","26.875","30","59.375","82.5","82.5","82.5","82.5","","",
"Argentina","ARG","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","30.625","30.625","30.625","30.625","30.625","32.5","38.75","38.75","38.75","38.75","38.75","38.75","38.75","38.75","38.75","38.75","38.75","38.75","59.375","59.375","59.375","59.375","62.5","62.5","62.5","65","65","65","65","65","65","65","65","65","70","70","70","70","70","73.125","73.125","73.125","73.125","73.125","73.125","73.125","73.125","73.125","76.25","76.25","76.25","79.375","79.375","79.375","","",
