"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.2323916408554","84.4085027779303","84.5513343764437","84.703018798597","85.0685036623271","85.3301292524448","85.2259784667139","85.0995995891565","85.1834075613583","85.3908593559858","85.5505159791381","85.7088536184397","85.9173346818078","86.1166193302954","86.2986159133929","86.4666881447856","86.4604881408519","86.3505701953188","86.2222047834804","86.0843515082799","85.9606753906645","86.0314927897535","85.3496945833083","85.8230047972812","85.5364394641041","85.1961713697009","84.8879543198507","84.5181055889946","84.1047809540297","83.6362806382273","83.1928808851008","83.1759444422412","83.3484871224037","85.9573397797669","86.1059304567666","86.2047731980566",
"Afghanistan","AFG","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.67375","19.6182595435114","19.5164011246485","19.3825","19.2071035517759","19.0077061649319","18.78918323677","18.5446126892754","18.2968022819396","18.064588753252","17.8802396707654","17.765874903011","17.7267830748804","17.7508559388991","17.8405465826028","17.991068620668","18.2129804662886","18.5290439922701","18.9267576022392","19.371395177478","19.8475617527849","20.3211906558069","20.7861494068612","22.2236630530629","23.7543620287041","25.3797737292187","27.1056064334799","28.9369354640945","27.7497547989351","26.3713140979448","24.6801498127341","21.86616399623","7.34638661445354","7.3422382053258","7.32338393801641","7.29071100917431",
"Africa Western and Central","AFW","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.0034997678582","82.2338660337831","82.5107045435107","82.6381838668035","82.9580470005861","83.0485486662943","83.1037606468463","83.294727289018","83.3789478700237","83.6575256605758","83.9565105969838","84.1299980457642","84.4985632882234","84.5991090644183","84.769464943781","84.8512670319836","85.1066649591935","85.3579188506527","85.4076076610697","85.3391931516398","85.4588143381073","85.2660930912318","85.3725890859356","85.221174984034","85.0268139811981","84.9744386537592","84.7344968122545","84.8043112803725","84.6134142411198","84.558611475552","84.2105494969436","84.6936104257845","84.7021117805003","87.7661582190037","87.9544557609658","87.9415751532467",
"Angola","AGO","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.6830981459217","95.4579911560328","95.2519709870703","95.0661292354201","94.9063415984199","94.8289518349489","94.8265023887352","94.8700212543861","94.9475247275564","95.0324871562406","95.135782244345","95.2514283552159","95.3684183950415","95.4868218229601","95.5943905615761","95.6776454808872","95.7351731122223","95.7707064439745","95.7755574972458","95.7558338292457","95.7349031522978","93.6995456764165","93.7965790697382","93.897898655897","94.0048417557068","94.1150262233311","94.2272285582775","94.3464803565236","94.4691721175059","94.5940691585878","94.6280772495756","95.6034813771919","96.711308551643","93.2077125328659","93.3399551095173","93.2319568332322",
"Albania","ALB","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.3535540791058","76.0930352425746","76.9476918369689","75.7381756101346","74.7007360452628","73.1876318389362","72.1759246732866","73.3670347212984","72.37230358803","71.0735641011575","70.3854994599684","69.6129809713309","69.2335900256692","69.8748449981256","70.5907521614683","71.3862612952945","72.2659396492967","73.2341534744739","74.2976542222367","71.2944863321853","73.2540861812779","77.7196173239291","74.8188239611045","71.2637130114913","69.4362392784368","73.3258633300652","76.6623127160968","74.510861423221","76.117568668098","77.8339827953827","78.2274122314545","78.1999553338792","82.7373269185637","82.7239253296797","82.9337858843998","83.4073884189239",
"Andorra","AND","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.560008012429","26.7242766220425","27.2955390672007","27.0122500510109","27.5827278239642","27.437749574213","27.5781936341592","27.430705457979","27.4574565072641","27.9483967761563","28.3041590406917","28.5889259921393","27.9234932710507","28.189984764807","28.3976603671145","28.6350642999788","29.0015914043837","29.9416744604986","29.4569402144845","29.9920553267846","30.018165661124","30.2035477804545","30.1846961560793","30.4685043617057","30.7889866258249","31.3050987137507","31.6055088372464","30.8753325063314","29.6272481917422","29.019279512048","29.1413088476846","29.3040199694127","28.9878319623791","30.3897069663581","30.2649127574574","30.3038757300281",
"United Arab Emirates","ARE","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6517884983741","33.4259670964873","33.7945320808224","34.3142759630523","34.1484773518401","33.9988032421259","34.7156359355071","35.5573404337254","36.3674640724203","37.1374190245097","37.8648576274212","38.5112077617932","39.1084870520476","39.6521007845437","40.1323964415707","40.610461941684","41.6703817673731","42.9683423204036","44.4401991179425","45.9105540114471","47.0013488173175","47.9710034171425","48.9991723296742","50.0908013353777","51.2021032733278","52.3040349106067","53.2810927234747","55.2732403538286","55.4454589659085","59.3225700883604","65.4590459045905","55.9235612308238","59.422318788639","57.2667899222177","57.3489265980912","57.9213544511196",
"Argentina","ARG","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.6590888185127","58.5204703661462","60.4042681488084","62.2933207557058","63.8692741829636","64.3942008974801","65.6615548031601","67.067056473483","67.8435366950632","67.6283247161665","67.5673507587405","67.0091985293127","65.5984017077643","66.2703302953564","66.9637591808288","65.7903199871362","66.742706851668","66.091363697797","65.4394946084305","66.4772727272727","65.0476034590938","64.809883618767","65.5969313931584","65.3964942142181","65.8505423083867","66.451215758695","67.0660201837966","67.6939245036498","69.7442738341895","70.4413857229399","70.5134622677285","70.9526229600768","72.5903740920605","73.6100300233515","72.8462149395979","73.2163040899767",
